                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1464,                  2.315,                 1.4757,                0.37946,                0.53845,                0.36316,                0.19269,                 1.4739,                 2.3373,                 1.8536,             0.00054625,             0.00054625,             0.00054625
                      2,                 1.2749,                 2.0574,                 1.5856,                0.30443,                0.52398,                0.31159,                0.13989,                 1.6371,                 2.3902,                 2.1849,               0.001091,               0.001091,               0.001091
                      3,                 1.3515,                 2.0419,                 1.6385,                0.16059,                0.33498,                0.13813,                0.05144,                 1.8962,                 3.3016,                 2.5635,              0.0016248,              0.0016248,              0.0016248
                      4,                 1.3962,                 2.0313,                 1.6614,                0.30889,                0.55671,                0.32888,                0.14299,                 1.6554,                 2.4754,                 2.0121,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.3862,                 1.9847,                 1.6414,                0.28954,                0.49538,                0.29122,                0.12267,                 1.7582,                 2.4894,                 2.3152,               0.001601,               0.001601,               0.001601
                      6,                 1.3405,                 1.9178,                 1.5958,                0.33638,                0.51861,                0.33347,                0.16657,                 1.5454,                 2.1717,                  1.993,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.3745,                 1.9219,                 1.6329,                0.38376,                0.59033,                0.41794,                0.21386,                 1.4253,                 2.1206,                 1.7941,               0.001568,               0.001568,               0.001568
                      8,                 1.3272,                 1.8821,                 1.6048,                0.27209,                0.45618,                0.27041,                0.11876,                 1.8197,                 2.2811,                 2.2192,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3078,                 1.8343,                 1.5748,                0.34367,                0.55262,                0.36209,                0.18954,                 1.5815,                 1.8892,                 1.8956,               0.001535,               0.001535,               0.001535
                     10,                 1.2626,                 1.7819,                 1.5288,                0.47544,                0.62342,                0.51074,                0.28521,                 1.4571,                 1.6048,                 1.8095,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.2685,                 1.7743,                 1.5425,                0.50715,                0.63405,                0.55146,                0.30028,                 1.4504,                 1.5803,                 1.8198,               0.001502,               0.001502,               0.001502
                     12,                 1.2558,                 1.7697,                  1.534,                0.36848,                0.69152,                0.47315,                0.24473,                 1.5734,                 1.8908,                 1.9846,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2145,                  1.719,                   1.51,                0.39878,                0.63578,                0.41303,                0.21536,                 1.4687,                 1.8407,                 1.8189,               0.001469,               0.001469,               0.001469
                     14,                 1.1855,                 1.6844,                 1.5047,                 0.4191,                0.60207,                0.42782,                0.21977,                 1.4965,                 1.8603,                 1.8863,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.1747,                 1.6764,                 1.4893,                0.56769,                0.58264,                0.61025,                0.35321,                 1.2766,                 1.4717,                 1.6239,               0.001436,               0.001436,               0.001436
                     16,                 1.1757,                 1.6666,                 1.5027,                0.42717,                0.61999,                0.44311,                0.25858,                 1.3152,                 1.5763,                  1.671,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.1653,                 1.6196,                 1.4734,                0.50496,                0.55581,                0.46474,                0.26797,                 1.2882,                 1.7188,                 1.6758,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.1181,                 1.5668,                 1.4356,                0.53722,                0.65904,                0.62802,                0.37563,                 1.2923,                 1.4144,                 1.6464,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.1176,                 1.5473,                 1.4411,                0.48483,                0.66652,                0.60796,                0.33719,                 1.3631,                 1.8276,                 1.7557,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.1251,                 1.5172,                 1.4385,                0.53041,                0.64442,                0.62007,                0.36817,                 1.2805,                 1.4387,                 1.6691,              0.0013534,              0.0013534,              0.0013534
                     21,                  1.141,                 1.5785,                 1.4563,                0.54759,                0.60365,                0.54177,                0.29866,                 1.3706,                 1.5386,                 1.7281,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.1025,                  1.518,                 1.4211,                0.50339,                0.68511,                0.63871,                0.37331,                 1.3313,                 1.3768,                 1.7233,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.0981,                 1.5063,                 1.4146,                0.60528,                0.62385,                 0.6285,                0.37637,                 1.3011,                 1.4512,                 1.6482,              0.0013039,              0.0013039,              0.0013039
                     24,                  1.048,                 1.4604,                 1.3833,                0.65612,                0.68983,                0.70244,                0.41389,                 1.2617,                 1.2806,                 1.6274,              0.0012874,              0.0012874,              0.0012874
